mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,param_feature_selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
35.80917625427246,1.6197821797202685,0.6109819412231445,0.018625883452336945,,1,2,100,all,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'feature_selector__k': 'all'}",0.9904066151167142,0.9898766192954118,0.9889271519041708,0.9908274882623045,0.9892432072135495,0.9898562163584301,0.0007050766137221306,61
23.316324853897093,2.826460411591527,0.4937708854675293,0.2332520321933861,,1,2,100,15,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'feature_selector__k': 15}",0.7542438209034596,0.7609808947218463,0.7675046287035886,0.7592598599345384,0.7531190564432535,0.7590216521413373,0.005167679810328865,143
24.599501132965088,2.3028202375975266,0.6809891700744629,0.12624724320867503,,1,2,100,20,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'feature_selector__k': 20}",0.8046384745731151,0.8412121907448353,0.8393033448202468,0.8420342148643506,0.8041515271468184,0.8262679504298733,0.017881819395101393,138
45.72315731048584,9.7755658498666,0.627001953125,0.18370492511987,,1,2,100,25,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'feature_selector__k': 25}",0.9154421400538486,0.891819783800949,0.9088992845757199,0.8916954440181653,0.8960164016387222,0.900774610817481,0.009658234712742783,136
90.8826253414154,5.931383486430377,1.0865222454071044,0.22420264308699786,,1,2,200,all,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200, 'feature_selector__k': 'all'}",1.0,0.9997890628644721,0.9998944813759629,1.0,0.9997891629770188,0.9998945414434907,9.43115790535888e-05,21
60.93983869552612,3.2496519349361885,0.8559706211090088,0.004022098246102262,,1,2,200,15,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200, 'feature_selector__k': 15}",0.9128154871706773,0.9163887041812406,0.9138564574294422,0.9110002464770895,0.907300487207719,0.9122722764932337,0.0030359984535850886,131
56.469912433624266,3.4575483484988214,1.0243891716003417,0.1714605536802621,,1,2,200,20,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200, 'feature_selector__k': 20}",0.9502418619011492,0.9285152368292433,0.9507565405028333,0.95254905564836,0.9319710218227331,0.9428067433408638,0.010344592125443362,119
61.80255551338196,3.143602927894327,1.2222164154052735,0.15731003492975623,,1,2,200,25,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200, 'feature_selector__k': 25}",0.9709039902658569,0.9877695505287044,0.9906152496636719,0.9925144847837939,0.9907168638983944,0.9865040278280842,0.007946552022126895,67
121.75761485099792,6.703512674507652,2.033540678024292,0.44133829035723204,,1,2,300,all,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300, 'feature_selector__k': 'all'}",1.0,0.9998945814885095,1.0,1.0,0.9998945814885095,0.9999578325954038,5.1644312519082657e-05,1
76.47139601707458,1.7845101417702227,1.7308716773986816,0.470436020300698,,1,2,300,15,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300, 'feature_selector__k': 15}",0.9464450935741962,0.9521311858791653,0.9361075721325915,0.9642557162762377,0.9572844792115297,0.9512448094147441,0.009578310879644098,114
84.62543716430665,5.363115399222549,1.6980502128601074,0.23522385833352125,,1,2,300,20,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300, 'feature_selector__k': 20}",0.9571997839971697,0.9624655037192813,0.9736374632361701,0.9744839148170372,0.9609741271137011,0.9657521585766717,0.007002805043339796,102
93.13641443252564,5.385467322542482,1.8290297031402587,0.4248171252783242,,1,2,300,25,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300, 'feature_selector__k': 25}",0.9931476966405633,0.9824939196644868,0.9967302241179534,0.9986292590129824,0.9975747735604367,0.9937151745992845,0.0059054863798209895,56
62.39274964332581,2.5499993233302525,0.5760889530181885,0.03742670688795353,,1,5,100,all,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'feature_selector__k': 'all'}",0.9904066151167142,0.9898766192954118,0.9889271519041708,0.9908274882623045,0.9892432072135495,0.9898562163584301,0.0007050766137221306,61
47.30851120948792,2.427611719813595,0.5206743717193604,0.10897352232225509,,1,5,100,15,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'feature_selector__k': 15}",0.7536105089341437,0.7609808947218463,0.7675046287035886,0.7882552565594241,0.76165805598654,0.7664018689811086,0.011783855423007441,141
