mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__n_estimators,param_feature_selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44.0901460647583,6.1792159212371995,10.067675065994262,1.76662566516099,10,1,100,all,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100, 'feature_selector__k': 'all'}",0.5927693913497554,0.5963167793233153,0.5808679117063402,0.581161441692751,0.5683595498058918,0.5838950147756107,0.009910007474013573,26
5.159371089935303,3.09153236791825,8.198517084121704,1.6619526576053578,10,1,100,15,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100, 'feature_selector__k': 15}",0.5218085171349631,0.5291195361825766,0.5329433348970913,0.524072262036982,0.5330323349509519,0.528195197040513,0.004573519265916007,36
8.740325832366944,4.9980673274529,8.651143789291382,0.6502612180003576,10,1,100,20,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100, 'feature_selector__k': 20}",0.5526040374589113,0.5586176980161096,0.541430275916185,0.5539682711304048,0.5331909132246471,0.5479622391492516,0.009295333545586471,29
76.4049949169159,8.37251322737608,5.946260690689087,1.4868097455841163,10,1,150,all,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 150, 'feature_selector__k': 'all'}",0.5926641730633578,0.5845099060363661,0.5876209034196244,0.5778934678365418,0.5815540831002212,0.5848485066912222,0.005061842888330566,25
31.701579141616822,0.6509515642561289,7.9905674934387205,0.9139972058172247,10,1,150,15,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 150, 'feature_selector__k': 15}",0.5233898949198689,0.5284870251136328,0.5335758459660351,0.5238614250140007,0.5330323349509519,0.5284693051928978,0.0043343115185924775,33
32.58185811042786,1.7453548343106073,7.477039575576782,2.0089747884652724,10,1,150,20,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 150, 'feature_selector__k': 20}",0.551971025827235,0.5585123796171657,0.5412192386681106,0.5538628526189141,0.533085594825703,0.5477302183114257,0.009259659899939862,30
116.22554302215576,4.287747583477782,4.47894024848938,0.2672622522869036,10,2,100,all,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 100, 'feature_selector__k': 'all'}",0.5809627182878994,0.598741505200146,0.583397955982115,0.580318093600826,0.5687778200252723,0.5824396186192518,0.009591629271530604,28
41.122532320022586,11.069958476523492,5.342073440551758,1.5801180935101955,10,2,100,15,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 100, 'feature_selector__k': 15}",0.523916987477322,0.528803180535558,0.5322053052041106,0.5235451694795289,0.5327161795290265,0.5282373644451093,0.003919358034420534,35
69.5507918357849,0.8252362807159805,4.8611822605133055,0.3782602864103217,10,2,100,20,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 100, 'feature_selector__k': 20}",0.5519709257146883,0.5580906054586566,0.5407973643970552,0.5537574341074235,0.5337185063448328,0.5476669672045312,0.009011338230166144,31
297.6923595428467,6.106351725209505,7.3881042957305905,1.7784985722396713,10,2,150,all,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 150, 'feature_selector__k': 'all'}",0.5862336438624302,0.5845097058112729,0.5821345356449722,0.5783151418825043,0.5838730901279218,0.5830132234658203,0.0026905018293153127,27
78.1023859500885,3.2991611105911303,10.59972972869873,1.0963727484147374,10,2,150,15,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 150, 'feature_selector__k': 15}",0.523916987477322,0.5280650507300307,0.5332595904315631,0.5234397509680382,0.5332432720864797,0.5283849303386867,0.0042868503809620415,34
110.92438974380494,3.0428680982546603,7.066921854019165,1.1388839167857185,10,2,150,20,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 150, 'feature_selector__k': 20}",0.5522875816993463,0.55756361301375,0.5411136199315271,0.5542845266648766,0.5329801763142125,0.5476459035247425,0.009184026769751271,32
302.0538661956787,15.4025247015996,5.196818447113037,1.8481791939596668,15,1,100,all,"{'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100, 'feature_selector__k': 'all'}",0.6582556109578388,0.6692666896124624,0.6706023912081962,0.6677360688886446,0.662440015064936,0.6656601551464156,0.004624689887879208,14
97.81625065803527,4.36372002779282,8.381918478012086,2.470064060708606,15,1,100,15,"{'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100, 'feature_selector__k': 15}",0.617463452413203,0.6166316172641283,0.6059735354485513,0.617167419613129,0.613805039625547,0.6142082128729117,0.004317379732894794,22
109.68662352561951,5.245549818199692,8.471271276473999,1.7011707520221697,15,1,100,20,"{'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 100, 'feature_selector__k': 20}",0.6199093020373504,0.6232570655931399,0.6163946508665041,0.622512929034821,0.61720686395646,0.6198561622976551,0.0027432907115919544,17
